"CODIGO";"DOTACAO";"GRUPO";"DESCRICAOGRUPO";"ITEM";"RECEITA";"DESCRICAOITEM";"USUARIO";"DHMODIFICACAO"
"243,000000";"233417,000000";"857";"Projetos Especiais - Renda Industrial";"333060";"S";"Suprimentos de Informática";"NUNO";"14/10/2009 12:12"
"244,000000";"49092,000000";"857";"Projetos Especiais - Renda Industrial";"333611";"S";"Outras Remunerações de Serviços Pessoais";"NUNO";"19/05/2009 16:10"
"245,000000";"235665,000000";"080";"Básica - Orçamento";"333040";"";"Material Educativo, Esportivo e Cultural";"NUNO";"26/03/2009 15:07"
"246,000000";"236505,000000";"857";"Projetos Especiais - Orçamento";"333980";"";"Conservação e Manutenção de Bens Móveis e Imóveis";"NUNO";"03/04/2009 10:57"
"247,000000";"236297,000000";"174";"Acréscimos Orçamentários - Orçamento";"445130";"";"Execução de Obras e Instalações";"NUNO";"26/03/2009 15:06"
"248,000000";"122455,000000";"080";"Básica - Orçamento";"333991";"";"Aluguéis de Imóveis - P.J.";"NUNO";"26/03/2009 09:21"
"249,000000";"127260,000000";"080";"Básica - Orçamento";"333936";"";"Dedetização, Desinsetização e Desratização";"NUNO";"26/03/2009 09:22"
"250,000000";"192632,000000";"081";"Manutenção de Edifícios - Orçamento";"445130";"";"Execução de Obras e Instalações";"NUNO";"26/03/2009 09:34"
"251,000000";"56129,000000";"857";"Projetos Especiais - Orçamento";"333345";"";"Outras Despesas com Transporte e Locomoção";"NUNO";"14/12/2010 14:28"
"252,000000";"59497,000000";"857";"Projetos Especiais - Orçamento";"333061";"";"Peças, Acessórios e Componentes de Informática";"NUNO";"19/05/2009 16:12"
"253,000000";"64300,000000";"857";"Projetos Especiais - Orçamento";"333611";"";"Outras Remunerações de Serviços Pessoais";"NUNO";"19/05/2009 16:13"
"254,000000";"64318,000000";"857";"Projetos Especiais - Orçamento";"333612";"";"Encargos Sociais e Obrig. Fiscais - P.F.";"NUNO";"19/05/2009 16:14"
"255,000000";"67082,000000";"857";"Projetos Especiais - Orçamento";"333616";"";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"19/05/2009 16:14"
"256,000000";"69085,000000";"857";"Projetos Especiais - Orçamento";"333943";"";"Jornais, Revistas e Periódicos";"NUNO";"26/03/2009 10:29"
"257,000000";"70431,000000";"857";"Projetos Especiais - Orçamento";"445233";"";"Material Educativo Cultural e Recreativo";"NUNO";"19/05/2009 16:17"
"258,000000";"70997,000000";"857";"Projetos Especiais - Orçamento";"333041";"";"Material de Escritorio, Papeis em Geral e Impressos";"NUNO";"24/02/2011 10:42"
"259,000000";"86161,000000";"159";"Programa de Expansão - Orçamento";"333999";"";"Outros Serviços e Encargos - P.J.";"NUNO";"19/05/2009 16:26"
